Schedule_A_Number,Commodity_Description,Unit_of_Quantity,Rate_1930_Tariff,Rate_Trade_Agreement,Tariff_Paragraph
2,,,,CLASSIFICATION OF IMPORTS,
,,,,"Group 0O.—ANIMALS AND ANIMAL PRODUCTS, EDIBLE—Continued",
,SCIEDULE A,,,,RATE OF DUTY
,COMMODITY NUMRER,,COMMODITY DESCRIFTION AND ECONOMIC CLASS,UNIT OF QUANTITY,TARIFR PARAGRAPE 1930 Tarif Act
,,,,,Trade agreement (except as noted)
,,,MEAT PRODUCTS—Continued,,
,,Prepared or preserved—Continued,,,
,Pork:,,,,
,,,"Hams, shoulders, and bacon (include backs,",,
,,,"butts, and picnics):",,
,0030100,,"Not cooked, boned, or canned, or made (4)",Lb-,"3%1b.-. 2 Ib. Can., bound GATT."
,,into sausage.,,,
,0030500L5,,"Pork sauisage, exccpt fresh pork sausage",（4） Ib-,3%1b... 1%Ib. GATT L 5
,,(from 0030 900 ).,,,
,0030900 Other--,,,(4) Lb__,3%1b---
,,"Other, pickled or salted:",,,703
,0031100,,"Not cooked, boned, or canned, or made",（4）,"3/1b---- 2ξ Ib. Can., bound GATT"
,,into sausage.,,,
,0031500L5,,"Pork sauisage, except fresh pork sausage",（4） Ib---,34lb--- 1Ib. GATTL 3
,,(from 0031900).,,,2.6 lb. T L 5 bound Cuba.
,0031900 Other_---,,,（4） Lb,3y1b---- 2.6 lb. bound Cuba GATT
,0032100,,"Meat pastes (except liver pastes), prepared",(4) Lb,6ib. U. K
,,,"or preserved, n.s. p. f., packed in airtight",,20%min-- 10%min. U. K 706
,,,"containers weighing each, with container,",,3Ib. GATT
,,not over 3 ounces.,,,10%min. GATT
,0032800d1,"Froglegs, prepared or preserved",,(4） Lb.,20%-- 8% Cuba GATT. 1558
,,（C.D.610-4/6/42),,,
,0032 900,,"Canned meats, n. e. s., and prepared or",（4） Lb__,"61b 3g 1b. Arg., Urug.,Para_--"
,,,"preserved meats, n. s. P. f. (include liver",,"20%min- 20% min. Arg. Urug, Para 706"
,,paste) (specify by name).,,,31b. GATT
,,,,,10%min. GATT..
,Sausage casings:,,,,
,0034000,"Sheep, lamb, and goat casings---",,（4） Lb_,"Free--- Free, bound Turk., Arg."
,0035 500,,"Sausage casings, n. s. p.f. (specify by name)",(4）Lb__---,"Urug., Iran, GATT. 1755 Free----- Free, bound Turk.Arg."
,,,"(Include weasands,bladders, and intestines.)",,"Urug., Iran,a Para, GATT."
,,,"ANIMAL OILS AND FATS, EDIBLE",,
,0036000 Lard.,,,(4） Lb__-,
,0036100,,Lard compounds and lard substitutes made,(4) Lb__,5Ib. 703
,,,from animal or vegetable oils and fats.,,
,0036 200 Oleo oil--,,,(4） Lb---,"11b.+31b. Y1b. Arg.,Urug.+1y1b. 701"
,,,,,"I.R.C. I. R. C. Arg., Urug. 82491_(c)"
,0036300 Oleo stearin.,,,(4) Lb.,"1lb.+31b. y1b. Arg.,Urug.+1yt 1b. I. R. C. I.R.C. I. R. C. Arg.,Urug."
,0036 500,,Oleomargarine and other butter substitutes,（4） Lb..,141b. 71b.GATT 709
,,,made from animal or vegetable oils and fats.,,
,0036600,,Beef and mutton tallow (include oleo stock) (4),Lb__,"1b.+31b. Yc Ib. Arg., Urug., Para.+ 701"
,,,"(T. D. 48876). (Inedible tallow, see 0815 600.)",,"I. R. C. 1/ Ib. I.R. C., Arg. 82491(a)"
,,,,,"I. R.C. Urug., Para."
,0036 900.,,"Animal oils and fats, n. e. s.(Include edible (4)",Lb---,20%---- 52
,,,chicken fat formerly reported in 0821 100.),,
,,,DAIRY PRODUCTS,,
,Milk and cream:,,,,
,0037 000 Cream--,,,（2) Gal_---,"56.6gal---- 56.6e_gal.o bound Can.,"
,,,,,GATT.
,,,,,28.36gal.7Can
,,,,,20gal.7 GATT
,0038 000 Whole milk..,,,（2） Gal..-,6.5φ gal-- 6.5 gal.bound Can. GATT. 3707
,,,,,3/gal.7Can
,,,,,2gal.7GATT
,0038 200,Skimmed milk and buttermilk,,（2） Gal--,22op gal-- 2osgal. bound Can.
,,,,,1gal. GATT.
,,Condensed or evaporated milk:,,,
,,In airtight containers:,,,
,0040000,Unsweetened--.,,（4） Lb--,1.8e 1b- 11b. GATT
,0040100,Sweetened..,,（4) Lb---,2.75ρlb-- 1.75eIb.GATT 708(a)
,0040700,,All other (specify by name) ----,(4）l Lb__---,2.531b----- 1.5ξ Ib. GATT---
,,"For ezplanation of superior notations against commodity numbers and GA TT rates,",,,"For supplemental numbers reporting import tax under Internal Revenue Code,"
,refer lo Foreword.,,,refer to Foreword.,
,,,,,Not previously provided for in Schedule A.
,,"Applicable to weasands, bladders, and intestines produced from sbeep, lombs,",,,Applicable to importsin excessofquantity restrfction (T. D. 49752) (T. D. 51802).
and goats.,,,,,Subject to quota provisions (T. D. 49752) (T. D. 51802).
,,,,,"August 1, 1950"
