Confidence,TopLeft_X,TopLeft_Y,TopRight_X,TopRight_Y,BottomRight_X,BottomRight_Y,BottomLeft_X,BottomLeft_Y,Page,Commodity Number,Commodity Description,Unit of Quantity,Rate of Duty 1930 Tariff Act,Rate of Duty Trade Agreement,Tariff Paragraph
0.984378815,481,614,1269,614,1269,647,481,647,28,,"ANIMALS,EDIBLE(EXCEPTFORBREEDING)",,,,
0.984760165,476,673,591,673,591,709,476,709,28,,Cattle:,,,,
0.999476969,240,708,418,706,418,740,240,742,28,0010 600,,,,,
0.936002374,513,706,1286,705,1286,742,513,743,28,,Weighing less than 20o pounds each (calves).(2),,,,
0.983977377,1306,704,1389,706,1388,742,1305,740,28,,,No,,,
0.880612671,1305,736,1372,736,1372,774,1305,774,28,,,Lb_,,,
0.702214777,1456,736,1588,738,1587,777,1455,775,28,,,,2lb_,,
0.874166787,1694,738,2122,738,2122,775,1694,775,28,,,,,"1 Ib. Can.,Mex., bound 1",
0.988051414,1727,771,1844,771,1844,803,1727,803,28,,,,,GATT.,
0.99934274,240,801,421,798,422,836,241,839,28,0010 700,,,,,
0.920227408,512,794,1293,794,1293,844,512,844,28,,Weighing 200 pounds and less than 700 (2),,,,
0.962161601,1306,798,1390,798,1390,835,1306,835,28,,,No,,,
0.995740175,549,837,752,837,752,865,549,865,28,,pounds each.,,,,
0.877182782,1307,830,1375,830,1375,868,1307,868,28,,,Lb.,,,
0.788588464,1457,831,1599,831,1599,870,1457,870,28,,,,21b_,,
0.844852924,1693,833,1925,833,1925,870,1693,870,28,,,,,1Ib. Mex,
0.937529624,517,866,1071,866,1071,899,517,899,28,,Weighing 700 pounds or more each:,,,,
0.999233484,2154,862,2221,862,2221,901,2154,901,28,,,,,,701
0.999898374,241,895,389,895,389,930,241,930,28,0010 800,,,,,
0.935562313,551,898,951,901,951,932,551,929,28,,Cows for dairy purposes_.,,,,
0.76110667,1218,893,1290,893,1290,932,1218,932,28,,（2）,,,,
0.988964856,1306,893,1410,893,1410,929,1306,929,28,,,No,,,
0.927972317,1308,924,1375,927,1374,962,1306,959,28,,,Lb.,,,
0.720732808,1457,926,1564,926,1564,962,1457,962,28,,,,3f 1b_.,,
0.826955974,1695,927,2133,927,2133,961,1695,961,28,,,,,"1 Ib.Can., bound GATT.",
0.999889076,241,958,390,958,390,993,241,993,28,0010 900,,,,,
0.915430486,551,959,830,959,830,993,551,993,28,,"Cattle, n.B.p.f__",,,,
0.739882231,1229,953,1290,953,1290,997,1229,997,28,,(2）,,,,
0.735751987,1307,953,1440,956,1439,996,1306,992,28,,,No,,,
0.924412251,1307,985,1380,989,1378,1027,1305,1023,28,,,Lb_,,,
0.776393175,1455,987,1573,987,1573,1026,1455,1026,28,,,,3lb_,,
0.871390402,1693,988,2124,988,2124,1025,1693,1025,28,,,,,"1 Ib.Can. Mex., bound 1",
0,1391,1002,1429,1002,1429,1016,1391,1016,28,,nan,,,,
0.964033008,1728,1020,1841,1022,1840,1055,1727,1053,28,,,,,GATT.,
0.999870896,240,1051,390,1051,390,1086,240,1086,28,0012 000,,,,,
