Commodity Number,Commodity Description,Unit of Quantity,Rate of Duty 1930 Tariff Act,Rate of Duty Trade Agreement,Tariff Paragraph
0030 100,"Not cooked, boned,or canned, or made (4) A into sausage.",Lb,3/1b.,"2lb.Can.,bound GATT",
0030 500,"Pork sausage,except fresh pork sausage (4) (from 0030900).",Lb_,31b_,1%lb.GATT L,
0030 900,"Other__ （4） 2 Other, pickled or salted:",Lb__-,34φ1b___,,703
0031 100,"Not cooked, boned, or canned, or made （4） 西 into sausage.",Lb__..,31b__--,"2lb.Can.,bound GATT",
0031 500,"Pork sausage, except fresh pork sausage (4) (from0031900).",Lb____-,34f1b_,1%1b.GATTL5 2.6lb.TL5bound Cuba,
0031 900,Other (4) L,Lb,31b.,2.6clb.boundCubaGATT,
0032 100,"Meat pastes (except liver pastes), prepared （4） ■ or preserved, n.s. p. f., packed in airtight",Lb,6lb,6ib.U.K,
,"containers weighing each, with container, not over 3 ounces.",,20%min_,10%min.U.K_ 3Ib.GATT 10%min.GATT_,706
0032 800,"Frog legs, prepared or preserved （4） (C.D.610-4/6/42)",Lb,20%-------,8%CubaGATT_,1558
0032 900,"Canned meats, n. e. s., and prepared or (4) preserved meats, n. s. p. f. (include liver",Lb__,6lb.,"3lb.Arg.,Urug.,Para__",
,paste) (specify by name). Sausage casings:,,20%min_,"20%min.Arg,Urug.Para_ 3ib.GATT 10%min. GATT_",706
0034 000,"Sheep, lamb, and goat casings_ （4）",Lb_,Free.,"Free, bound Turk., Arg., Urug., Iran,GATT.",1755
0035 500,"Sausage casings,n.s. p.f. (specify by name) (4) (Include weasands, bladders, and intestines.)",Lb,Free.,"Free,boundTurk. Arg., Urug.,Iran, Para,GATT",
,"ANIMAL OILS AND FATS, EDIBLE",,,,
0036 000,Lard. （4),Lb_,3lb,,
0036 100,Lard compounds and lard substitutes made （4） from animal or vegetable oils and fats.,Lb_,5lb.,,703
0036 200,Oleo oil_ （4）,Lb____-,1lb.+3 lb.,"lb. Arg.,Urug.+1lb.",701
,,,I.R.C.,"I.R.C.Arg., Urug.",2491_(c)
0036 300,Oleo stearin_ （4）,Lb.__,1lb.+3€lb.,"3 lb. Arg.,Urug.+11b.",I.R.C.
,,,I.R.C.,,
,"I. R. C. Arg., Urug.",,,,
0036 500,Oleomargarine and other butter substitutes (4) made from animal or vegetable oils and fats.,Lb_,141b.,7 1bGATT_,709
0036 600,"Beef and mutton tallow (include oleo stock) (4) (T.D.48876). (Inedible tallow, see 0815600.)",Lb_,1b.+31b.,"Ib. Arg., Urug., Para.+",701
,,,I.R.C.,"1 lb. I. R.C.,Arg., Urug., Para.",I.R.C.
0036 900,"Animal oils andfats,n.e.s.δ (Include edible(4) chicken fat formerly reported in 0821 100.)",Lb,20%---,,52
,DAIRY PRODUCTS,,,,
,Milk and cream:,,,,
0037 000,Cream_ (2),Gal_,56.6¢ gal,"56.6 _gal.o bound Can., GATT. 28.3egal.Can 20galGATT",
0038 000,Wholemilk (2）,Gal,6.56 gal__,6.5 gal.bound Can.GATT707 3gal.Can 2galGATT,
0038 200,Skimmed milk and buttermilk (2),Gal.-,20 gal_,2of gal.bound Can.,
,Condensed or evaporated milk: In airtight containers:,,一,1 gal.GATT,
0040 000,Unsweetened_ (4),Lb_,1.8lb,11b.GATT,
0040 100,Sweetened_ （4,Lb,2.751b.,1.75€lb.GATT_,708 (a)
0040 700,Allother (specify byname) （4）,Lb_,2.531b,1.5Ib.GATT,
