Schedule_A_Commodity_Number,Commodity_Description,Tariff_Paragraph
,RATE OF DUTY UNIT OF TARIFT PARAORAPE NMRER 1930TarlfAct Cattle:,
0010600,"Weighing less than 200 pounds each (calves). (2) No Lb 1 Ib. Can., Mex., bound 1 试 GATT.",
0010700,Weighing 200 pounds and less than 700 (2) No pounds each. Lb---- 2%1b-- 1/Ib.Mex-. Weighing 700 pounds or more each:,701
0010800,"Cows for dairy purposes-. (2） No Lb.. 3p1b- 1Yt Ib. Can., bound GATT",701
0010900,"Cattle, n.B. p.f_. (2） No Lb_. 3lb-- 1y6 Ib. Can., Mex., bound 1 GATT.",701
0012000,Sheep and lambs.. No- $3 each.-- $1.50 each Mex..,702
0012200,Goats.- No $3 each--.,702
0013000,"Hogs- Lb 21b--- 1e lb. Can., bound GATT.. Poultry, live:",703
0014000,"Turkeys--. （2） 8 lb.-- 1b.Can_ lb, GATT.",703
0015 000,"Chickens, ducks, geese, and guineas----- (2） Lb--- 8plb---- 1b. Can.- 1b. GATT.---",711
0015 500,"Baby chicks of poultry----. （2） No---- 4f each_--- Fresh, chilled, or frozen:",711
0018000,Beef_- （4） Lb----- 61b_ 3 lb. Cuba_ 3 1b. GATT,701
0019000,Veal.. Lb 61b 31b. Cuba. 31b. GATT. Pork:,(4)
0020100,"Fresh or chilled. Lb_ 2%21b Ib. Can., bound GATT",703
0020500,"Frozen--. Lb,- 221b- 1b. GATT Mutton---. Lb-- $2\2$ Ib. . GATT Lamb-. Lb-- ib- Ib. GATT Goat meat.-- Lb-. 2%21b.GATT",4
0023200,Reindeer meat--. Lb_- Jb-,(4)
0023300,Venison---. Lb__ 3lb.U.K 1%Ib.GATT.,704
0023 500,"Game (except birds), n. s. p. f. (specify by （4） Lb.---- 61b---- 3Ib.GATT.. name).",704
0023 600,"Edible offal: Livers, kidneys, tongues, hearts, (4)Lb.--- 6plb----- 3lb.Can_ seetbreads, tripe, and brains. 20%min---- 15%min. Can---. 1ycIb.GATT. 7%% min. GATT.",706
0023 800d1,Frog legs (C.D. 610-4/6/42) Lb_ 10% 8% bound Cuba GATT.,(4)
0023900,"Meats, n. s. p. f---- Lb_- 61b 20%min Birds, including poultry: Dead, dressed or undressed:",706
0024 000,Turkeys-- （4) Lb_- 101b,706
0025 400,Chickens and guineas Lb__ 101b-- 6elb. Can 1b. .GATT.,(4)
0025 500,Ducks andgeese--. Lb___ 101b_ ib.Can- Ib. GATT.-,36
0025 900,"Birds, n, s. p. f. (including game birds)−- (4)] Lb----- 10lb_--- 51b. U. K_-- >712 2%Ib.GATT Prepared or preserved:",36
0026 500i5,"Turkeys, prepared or_preserved, n. 8. p. f. (4)1 Lb----- 10lb---- (forinerly part of 0026 000).",36
0026 90015,"Birds, including poultry, prepared or pre- (4) Lb----- 101b------- 5Ib.GATTi8 served, n. e. s. (formerly part of 0026 000).",36
0028 000,"Canned beef, including corned beef--. （4） Lb----- 61b 3f lb. Arg., Urug., Para--- 20% min.- 20% min. Arg., Urug., Para. >706",36
0029000,"Beef and veal, pickled or cured ""..- Lb-- 61b E 3e Ib. Argo, Urug., Para__ 20%min-- 20% min. Arg., Urug., Para_ 1Jerked beef imported into Puerto Rico (free) for emergency (T. D. s0599)(indi- refer to Foreword. cated by rate provision 17.) 1 Contingent upon proviso specifed In T. D. 51802. August 1, 1950",1
