Confidence,TopLeft_X,TopLeft_Y,TopRight_X,TopRight_Y,BottomRight_X,BottomRight_Y,BottomLeft_X,BottomLeft_Y,Page,Commodity Number,Tariff Paragraph,Hierarchical Description
0.9470109343528748,521,620,1151,623,1150,660,521,657,38,,0291 000,"HIDES AND SKINS, RAW (EXCEPT FURS)—Continued"
0.9819669127464294,519,717,886,719,885,756,519,754,38,,0291 000,Kangaroo and wallaby. （0)
0.7555385828018188,1190,746,1265,752,1262,786,1188,780,38,,0291 000,Lb-.
0.957963228225708,519,778,828,781,828,816,519,813,38,,0291 000,"Deer, buck or doe-. (0)"
0.7889254093170166,1191,809,1269,817,1266,850,1187,842,38,,0291 000,Lb--
0.9484690427780152,519,871,792,873,792,911,519,909,38,,0293 200,"Elk, buck or doe. （0）"
0.7868174314498901,1190,900,1271,910,1267,947,1185,937,38,,0295 000,Lb--
0.922424614429474,519,935,844,937,844,975,519,973,38,,0295 000,"Reptile skins, raw-- （1）"
0.9255138635635376,515,1057,1175,1055,1175,1102,515,1104,38,,0298 100,"Sealskins, raw (not fur skins)-------(1) Lb-."
0.8924897313117981,552,1124,793,1131,792,1161,552,1154,38,,1678,"Fish skins, raw or salted: Shark skins---. (1）"
0.8548430800437927,553,1155,688,1161,686,1192,551,1186,38,,1678,"Fish skins, raw or salted: Other--- Lb_---"
0.8650111556053162,357,1186,484,1182,485,1218,358,1222,38,,0299,500.11 Carpincho hides and skins.
0.9532288312911988,517,1216,1059,1217,1059,1255,517,1253,38,,0299,Wild pig and hog (from 0299 900). Piece--
0.9633480310440063,516,1248,1100,1251,1100,1288,516,1286,38,,900,"Hides and skins, n. s. p. f. (specify by Piece--."
0.9837399125099182,548,1282,663,1282,663,1317,548,1317,38,,0300100,name). LEATHER
0.9823248982429504,517,1373,1154,1373,1154,1410,517,1410,38,,0300100,Leather made from hides or skins of cattle of the bovine species [ex-
0.9450067281723022,588,1500,933,1505,933,1536,588,1531,38,,0300100,Sole leather (excluding offal): Flexible bend splits--- （7）
0.9391098022460938,589,1591,690,1595,688,1628,587,1624,38,,0300100,Sole leather (excluding offal): Other. (7）
0.9291276335716248,588,1719,983,1723,983,1754,588,1750,38,,0300100,"Leather cutintosoles, blocks, etc.: Outer and inner soles---. （7）"
0.90184223651886,589,1809,1097,1813,1097,1847,589,1843,38,,0302 000,"Leather cutintosoles, blocks, etc.: Other bottom cut stoek-------- (7）"
0.934038519859314,554,1903,1173,1903,1173,1944,554,1944,38,,0302 000,"Leather cutintosoles, blocks, etc.: Belting leather (excluding offal).-- (7) Lb__."
0.9694876670837402,550,1963,1174,1963,1174,2007,550,2007,38,,0302 000,Harness and saddlery leather (in- (7) Lb_
0.9599539041519164,584,1997,1039,2001,1039,2039,584,2035,38,,0302 000,"cluding skirting, latigo, etc.). (3）"
0.9068009257316588,588,2061,738,2065,738,2096,587,2092,38,,0304 200,Cattle side upper: Grains-- (7）
0.956418752670288,588,2150,868,2157,867,2195,587,2188,38,,0304 200,Cattle side upper: Finished splits--- (7）
0.96414053440094,587,2215,848,2221,847,2252,586,2247,38,,0304 200,Cattle side upper: Patent leather.- （7）
0.8254857063293457,588,2308,732,2315,730,2354,586,2347,38,,0306 500,Calf and kip leather (whole and side): Upper- - (7)
0.9611817598342896,587,2371,754,2379,752,2414,585,2406,38,,0306 500,Calf and kip leather (whole and side): Lining--- (7）
0.7803847193717957,590,2467,695,2470,694,2502,589,2499,38,,0316 100,Cattle side upper splits: Wax--. (7）
0.929836928844452,586,2526,711,2528,711,2567,585,2565,38,,0316 100,Cattle side upper splits: Rough. (7)
0.9912840127944946,556,2591,850,2591,850,2625,556,2625,38,,0316 100,Cattle side upper splits: Upholstery leather. (3
0.9689297080039978,551,2621,1100,2619,1100,2659,551,2661,38,,0316 310,"Rawhide, dehaired, oiled or greased, Lb---"
0.987314224243164,585,2656,810,2656,810,2687,585,2687,38,,1530(b),but untanned.
0.749159038066864,2228,2697,2283,2697,2283,2739,2228,2739,38,,1530(b),(5）
0.9022769331932068,553,2712,1350,2712,1350,2756,553,2756,38,,0316 320,"Bag, case, strap and collar leather-- (7) Sq. ft.---"
0.8971007466316223,555,2776,1361,2776,1361,2817,555,2817,38,,0316 400,Glove and garment leather-------(7) Sq.ft----
0.9243344664573668,305,2821,1297,2824,1297,2858,305,2855,38,,,"For explanalion of superior notations against commodity numbers and GA TTrates, refer"
0.9101924896240234,279,2846,429,2849,429,2877,279,2874,38,,,to Foreword.
