Commodity Number,Commodity Description,Unit of Quantity,Rate of Duty 1930,Rate of Duty Trade Agreement,Tariff Paragraph,TopLeft_X,TopLeft_Y,TopRight_X,TopRight_Y,BottomRight_X,BottomRight_Y,BottomLeft_X,BottomLeft_Y,Confidence,Page
,Cattle:,,,,,480,675,592,675,592,711,480,711,0.9976195096969604,28
0010600,,,,,,240,708,416,706,417,740,240,742,0.9996128082275392,28
,Weighing less than 200 pounds each (calves). (2),,,,,514,706,1289,704,1289,744,514,746,0.9683399200439452,28
,,No,,,,1306,705,1394,705,1394,741,1306,741,0.9673538208007812,28
,,Lb,,,,1306,739,1380,739,1380,776,1306,776,0.996553897857666,28
,,,2y21b----,,,1456,737,1638,742,1637,781,1455,776,0.6449501514434814,28
,,,,"1 Ib. Can., Mex., bound 1",,1692,739,2122,737,2122,775,1692,777,0.9107439517974854,28
,,,,GATT.,,1727,770,1844,770,1844,805,1727,805,0.9953301548957824,28
0010700,,,,,,240,802,417,799,418,834,241,837,0.9092887043952942,28
,Weighing 200 pounds and less than 700,,,,,514,798,1213,799,1213,839,514,838,0.9608007669448853,28
,（2）,,,,,1193,800,1289,800,1289,837,1193,837,0.7471091747283936,28
,,No,,,,1307,799,1392,799,1392,835,1307,835,0.9632951021194458,28
,pounds each.,,,,,546,837,752,835,752,867,546,869,0.9937987923622132,28
,,Lb..,,,,1308,830,1395,835,1393,872,1306,867,0.7269914150238037,28
,,,2y21b--,,,1456,829,1597,834,1596,875,1455,869,0.6377972960472107,28
,,,,1½ Ib. Mex..,,1695,832,1915,832,1915,870,1695,870,0.8190733790397644,28
,Weighing 7o0 pounds or more each:,,,,,515,863,1073,864,1073,901,515,900,0.953665554523468,28
,,,,,701,2145,861,2220,861,2220,902,2145,902,0.9962599873542786,28
0010800,,,,,,241,896,388,896,388,931,241,931,0.9430028200149536,28
,Cows for dairy purposes-,,,,,548,897,942,903,942,936,548,930,0.961401641368866,28
,(2）,,,,,1230,892,1289,892,1289,933,1230,933,0.7195574641227722,28
,,No,,,,1307,893,1393,893,1393,930,1307,930,0.9809947609901428,28
,,Lb-,,,,1308,925,1379,929,1377,963,1306,959,0.8378994464874268,28
,,,31b.,,,1456,925,1556,925,1556,965,1456,965,0.7310672998428345,28
,,,,"1 Ib. Can., bound GATT",,1694,926,2125,924,2125,962,1694,964,0.9347214102745056,28
0010900,,,,,,241,957,389,957,389,992,241,992,0.9433659315109252,28
,"Cattle, n. 8. p. f_",,,,,550,956,817,958,817,996,550,994,0.8748047351837158,28
,(2）,,,,,1229,952,1292,952,1292,996,1229,996,0.6988994479179382,28
,,No,,,,1307,956,1389,956,1389,993,1307,993,0.8980888724327087,28
,,Lb_,,,,1307,986,1373,986,1373,1025,1307,1025,0.7707259654998779,28
,,,31b--,,,1454,986,1577,986,1577,1029,1454,1029,0.6649280786514282,28
,,,,"1ye Ib. Can., Mex., bound 1",,1694,988,2124,988,2124,1025,1694,1025,0.8844608068466187,28
,,,,GATT.,,1725,1022,1843,1022,1843,1054,1725,1054,0.9932851791381836,28
0012000,,,,,,240,1050,391,1050,391,1085,240,1085,0.9497524499893188,28
,Sheep and lambs-,,,,,479,1050,757,1053,757,1088,479,1085,0.9155619144439696,28
,,No,,,,1308,1048,1371,1048,1371,1086,1308,1086,0.9885581731796264,28
,,,$3 each.--,,,1455,1049,1631,1049,1631,1087,1455,1087,0.8929969668388367,28
,,,,$1.50 each Mex.,,1691,1053,1963,1053,1963,1087,1691,1087,0.9499412775039672,28
,$$,,,,,1235,1065,1301,1071,1293,1157,1227,1151,0.6223108172416687,28
,,,,,702,2141,1060,2223,1060,2223,1106,2141,1106,0.992717444896698,28
0012200,,,,,,240,1081,390,1081,390,1116,240,1116,0.9508304595947266,28
,Goats.-,,,,,479,1082,600,1088,599,1120,478,1114,0.8859367370605469,28
,,No,,,,1308,1077,1373,1083,1369,1121,1304,1116,0.946786642074585,28
,,,$3 each--,,,1455,1079,1615,1079,1615,1118,1455,1118,0.8761420845985413,28
0013000,,,,,,239,1113,391,1112,392,1148,239,1149,0.934828519821167,28
,Hogs,,,,,476,1110,572,1118,569,1154,473,1147,0.7830496430397034,28
,,Lb,,,,1307,1107,1382,1114,1379,1155,1303,1148,0.9707838892936708,28
,,,21b--,,,1453,1108,1580,1115,1577,1162,1450,1155,0.7851451635360718,28
,,,,"1e lb. Can., bound GATT..",,1693,1114,2129,1114,2129,1151,1693,1151,0.8701950907707214,28
,,,,,703,2153,1111,2223,1111,2223,1150,2153,1150,0.9947478175163268,28
,"Poultry, live:",,,,,478,1143,688,1148,687,1183,477,1178,0.9646219611167908,28
0014000,,,,,,242,1177,389,1177,389,1212,242,1212,0.9366745352745056,28
,Turkeys--,,,,,512,1176,678,1180,677,1215,512,1211,0.9265011548995972,28
,（2）,,,,,1231,1171,1292,1171,1292,1215,1231,1215,0.7644249796867371,28
,,Lb--,,,,1307,1173,1404,1173,1404,1214,1307,1214,0.8883898258209229,28
,,,81b...,,,1455,1174,1573,1174,1573,1214,1455,1214,0.8043383955955505,28
,,,,41b. Can-,,1689,1175,1889,1171,1890,1213,1690,1217,0.8259212970733643,28
,,,,. GATT.,,1771,1206,1920,1206,1920,1242,1771,1242,0.8006888031959534,28
,,,,」,,1725,1223,1742,1223,1742,1231,1725,1231,0.3232820034027099,28
0015000,,,,,,241,1238,390,1238,390,1276,241,1276,0.9499874114990234,28
,"Chickens, ducks, geese, and guineas-----",,,,,517,1240,1159,1240,1159,1277,517,1277,0.9400947690010072,28
,（2）,,,,,1230,1233,1295,1233,1295,1278,1230,1278,0.6818389296531677,28
,,Lb--,,,,1307,1234,1429,1240,1427,1280,1305,1274,0.8919837474822998,28
,,,8plb.-,,,1454,1236,1588,1236,1588,1279,1454,1279,0.6936394572257996,28
,,,,,>711,2145,1236,2221,1236,2221,1275,2145,1275,0.8993785381317139,28
,Baby chicks of poultry----,,,,,514,1299,943,1304,943,1341,514,1337,0.9686731696128844,28
,（2）,,,,,1228,1297,1296,1297,1296,1340,1228,1340,0.7397982478141785,28
,,No----,,,,1304,1296,1434,1299,1433,1341,1304,1338,0.8154938817024231,28
,,,,"2t ea, GATT.-",,1689,1291,1926,1299,1924,1347,1688,1339,0.8226269483566284,28
0015500,,,,,,241,1302,389,1299,390,1334,241,1337,0.9511550664901732,28
,,,4each_-,,,1456,1301,1627,1301,1627,1339,1456,1339,0.8364238142967224,28
,MEAT PRODUCTS,,,,,715,1365,1039,1365,1039,1396,715,1396,0.9712594747543336,28
,"Fresh, chilled, or frozen:",,,,,481,1424,862,1429,861,1464,481,1459,0.9779053926467896,28
0018000,,,,,,243,1458,387,1458,387,1490,243,1490,0.975865364074707,28
,Beef-.,,,,,514,1457,614,1459,613,1491,513,1489,0.8083284497261047,28
,(4）,,,,,1234,1457,1293,1457,1293,1493,1234,1493,0.6965721249580383,28
,,Lb----,,,,1307,1453,1424,1457,1423,1496,1306,1492,0.8998059630393982,28
,,,61b,,,1456,1455,1545,1455,1545,1496,1456,1496,0.8953157067298889,28
,,,,3t Ib. Cuba_,,1690,1455,1899,1455,1899,1496,1690,1496,0.8221092224121094,28
,,,,3t 1b. GATT,,1690,1485,1899,1485,1899,1526,1690,1526,0.7941272258758545,28
,,,,,>701,2143,1498,2221,1498,2221,1540,2143,1540,0.8855844736099243,28
0019000,,,,,,241,1519,389,1517,390,1552,241,1554,0.9555658102035522,28
,Veal.-,,,,,515,1517,618,1517,618,1552,515,1552,0.8936697840690613,28
,(4),,,,,1230,1514,1300,1514,1300,1557,1230,1557,0.7371978759765625,28
,,Lb,,,,1305,1516,1392,1516,1392,1556,1305,1556,0.9871729612350464,28
,,,61b,,,1455,1515,1547,1515,1547,1559,1455,1559,0.8434162139892578,28
,,,,31b. Cuba..,,1688,1517,1907,1517,1907,1558,1688,1558,0.8404478430747986,28
